gate_name,degeneracy,barrier,p_gate,p_mem,tau,err_gate_tau1,stability_min_tau1,rm_full,rm_parity,comm_full,comm_parity
and,3,6,0.01,0.000123937608833,1,0.01,0.999876062391,0,3.33121117496e-16,0,0
and,3,6,0.01,0.000123937608833,2,0.01,0.999876062391,8.32667268469e-17,2.49935705812e-16,0,0
and,3,6,0.01,0.000123937608833,4,0.01,0.999876062391,2.77962547038e-17,5.83029718254e-16,0,0
and,3,6,0.05,0.000123937608833,1,0.05,0.999876062391,6.93974259122e-18,1.66587663802e-16,0,0
and,3,6,0.05,0.000123937608833,2,0.05,0.999876062391,5.551115454e-17,1.11103617625e-16,0,0
and,3,6,0.05,0.000123937608833,4,0.05,0.999876062391,2.9517409109e-17,2.77772596591e-16,0,0
and,3,8,0.01,1.67731313951e-05,1,0.01,0.999983226869,4.03896783473e-28,1.11029078726e-16,0,0
and,3,8,0.01,1.67731313951e-05,2,0.01,0.999983226869,8.32667401076e-17,5.55179274948e-17,0,0
and,3,8,0.01,1.67731313951e-05,4,0.01,0.999983226869,3.4147049662e-21,1.66547006221e-16,0,0
and,3,8,0.05,1.67731313951e-05,1,0.05,0.999983226869,1.11022514221e-16,2.77623518792e-17,0,0
and,3,8,0.05,1.67731313951e-05,2,0.05,0.999983226869,2.94902991692e-17,1.3878126621e-16,0,0
and,3,8,0.05,1.67731313951e-05,4,0.05,0.999983226869,8.32704327194e-17,1.66547006221e-16,0,0
cnot,3,6,0.01,0.000123937608833,1,0.01,0.999876062391,0,0.979757082287,0,5.55111512313e-17
cnot,3,6,0.01,0.000123937608833,2,0.01,0.999876062391,2.77555756156e-17,2.23779328401e-16,0,1.11022302463e-16
cnot,3,6,0.01,0.000123937608833,4,0.01,0.999876062391,5.55111512313e-17,1.00613961607e-16,0,2.77555756156e-16
cnot,3,6,0.05,0.000123937608833,1,0.05,0.999876062391,0,0.899776912304,0,0
cnot,3,6,0.05,0.000123937608833,2,0.05,0.999876062391,3.46944695195e-17,2.63677968348e-16,0,5.55111512313e-17
cnot,3,6,0.05,0.000123937608833,4,0.05,0.999876062391,2.77555756156e-17,5.55111512313e-17,0,4.4408920985e-16
cnot,3,8,0.01,1.67731313951e-05,1,0.01,0.999983226869,1.11022302463e-16,0.979967124662,0,1.11022302463e-16
cnot,3,8,0.01,1.67731313951e-05,2,0.01,0.999983226869,5.55111512313e-17,2.94902990916e-17,0,1.11022302463e-16
cnot,3,8,0.01,1.67731313951e-05,4,0.01,0.999983226869,2.77555756156e-17,9.02056207508e-17,0,1.66533453694e-16
cnot,3,8,0.05,1.67731313951e-05,1,0.05,0.999983226869,8.32667268469e-17,0.899969808363,0,3.33066907388e-16
cnot,3,8,0.05,1.67731313951e-05,2,0.05,0.999983226869,5.89805981832e-17,3.98986399475e-16,0,1.66533453694e-16
cnot,3,8,0.05,1.67731313951e-05,4,0.05,0.999983226869,7.6327832943e-17,6.52256026967e-16,0,1.66533453694e-16
